Title,Property Type,Location,Bedrooms_Num,Bathrooms_Num,Size_SQM,Amenities,Surroundings,Price_Numeric,Price_Millions,Price_per_SQM,Amenity_Count,Month,Year,URL
5 Bed Villa at Kikuyu-Kamangu Road,Villa,Kamangu,5,6.0,505.8575,,,45000000.0,45.0,88957.85868549938,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kamangu-3917909
4 Bed Villa with En Suite at Maasai Lodge Road,Villa,Ongata Rongai,4,5.0,505.8575,"En Suite, Backup Generator, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community","Hospital, School, Shopping Centre",20500000.0,20.5,40525.24673450527,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-ongata-rongai-3923921
3 Bed House with En Suite in Athi River,House,Athi River,3,3.0,505.8575,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",10500000.0,10.5,20756.833693283188,0,2,2026,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-athi-river-area-3924239
4 Bed House with En Suite in Kitengela,House,Kitengela,4,4.0,205.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",9500000.0,9.5,46341.46341463415,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3924220
4 Bed House with En Suite in Kitengela,House,Kitengela,4,4.0,259.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17000000.0,17.0,65637.06563706564,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3924204
4 Bed House with En Suite in Kitengela,House,Kitengela,4,4.0,240.0,"Alarm, En Suite, Backup Generator, Fibre Internet, Balcony, BBQ, Staff Quarters, Parking, Borehole, Garden","Shopping Centre, Bus Stop, Hospital, School",12000000.0,12.0,50000.0,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3924199
4 Bed House with En Suite at Karen Nairobi,House,Karen,4,5.0,550.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",105000000.0,105.0,190909.0909090909,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3924192
3 Bed House with En Suite in Kitengela,House,Kitengela,3,3.0,135.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",5500000.0,5.5,40740.74074074074,0,2,2026,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3924191
4 Bed House with En Suite in Kitengela,House,Kitengela,4,4.0,416.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",35000000.0,35.0,84134.61538461539,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3924190
5 Bed Villa with En Suite at Ruiru,Villa,Ruiru,5,7.0,230.0,"Alarm, En Suite, Fibre Internet, Walk In Closet, Serviced, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community","Bus Stop, Hospital, Scenic View, School, Shopping Centre",22500000.0,22.5,97826.08695652174,0,10,2025,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-ruiru-3862233
