Title,Property Type,Price,Location,Bedrooms,Bathrooms,Size,Amenities,Surroundings,Created At
9 Bed House with En Suite in Lavington,House,"KSh 350,000,000",Lavington,9 Bedrooms,9 Bathrooms,0.8 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 58,000,000",Lavington,4 Bedrooms,4 Bathrooms,392 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 76,000,000",Kileleshwa,4 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
4 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 73,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,402 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 110,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026
3 Bed House with En Suite in Kikuyu Town,House,"KSh 9,500,000","Kikuyu Town, Kikuyu",3 Bedrooms,3 Bathrooms,N/A,"Alarm, En Suite, Fibre Internet, CCTV, Electric Fence, Borehole, Garden, Parking, Gated Community, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 February 2026
4 Bed House with En Suite in Nyari,House,"KSh 120,000,000","Nyari, Westlands",4 Bedrooms,N/A,N/A,"Alarm, En Suite, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Gated Community, Kids Play Area","Shopping Centre, School, Scenic View",16 February 2026
3 Bed House with En Suite at Namanga Road,House,"KSh 7,500,000",Kitengela,3 Bedrooms,4 Bathrooms,198 sqm,"Alarm, En Suite, Fibre Internet, Serviced, Electric Fence, Borehole, Garden, Parking, Gated Community","Bus Stop, Hospital, School, Shopping Centre",16 February 2026
5 Bed House with En Suite at Whispers Avenue,House,"KSh 185,000,000","Gigiri, Westlands",5 Bedrooms,6 Bathrooms,N/A,"Walk In Closet, Furnished, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Gated Community, Swimming Pool, Staff Quarters, Parking, Gym, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony","Shopping Centre, School, Hospital, Bus Stop",16 February 2026
5 Bed Villa with En Suite in Lavington,Villa,"KSh 95,000,000",Lavington,5 Bedrooms,5 Bathrooms,628 sqm,"En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed Townhouse with En Suite at Shanzu Road,Townhouse,"KSh 110,000,000","Spring Valley, Westlands",5 Bedrooms,6 Bathrooms,N/A,"Walk In Closet, Backup Generator, En Suite, Fibre Internet, Furnished, Alarm, Aircon, Kids Play Area, Gated Community, Swimming Pool, Staff Quarters, Parking, Gym, Garden, Borehole, Electric Fence, Balcony, BBQ, CCTV","Shopping Centre, School, Hospital, Bus Stop",16 February 2026
4 Bed House with En Suite at Vipingo Ridge,House,"KSh 49,995,000",Vipingo,4 Bedrooms,5 Bathrooms,2500 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Serviced, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",16 February 2026
5 Bed Townhouse with Staff Quarters in Lavington,Townhouse,"KSh 72,000,000",Lavington,5 Bedrooms,N/A,N/A,"Backup Generator, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Staff Quarters, Garden",,16 February 2026
5 Bed House with En Suite in Thigiri,House,"KSh 125,000,000","Thigiri, Westlands",5 Bedrooms,N/A,1 acre,"Backup Generator, En Suite, Walk In Closet, CCTV, Electric Fence, BBQ, Parking, Staff Quarters, Garden",,16 February 2026
4 Bed House with En Suite in Ongata Rongai,House,"KSh 23,000,000",Ongata Rongai,4 Bedrooms,4 Bathrooms,236 sqm,"Aircon, Serviced, En Suite, Kids Play Area, Parking, Gated Community, Garden, Staff Quarters","Shopping Centre, Bus Stop, Hospital, School",03 February 2026
3 Bed House with En Suite in Kitengela,House,"KSh 7,800,000",Kitengela,3 Bedrooms,3 Bathrooms,198 sqm,"Alarm, En Suite, Fibre Internet, Parking, Borehole, Gated Community, Garden","School, Scenic View, Hospital, Bus Stop, Shopping Centre",16 December 2025
3 Bed House with En Suite in Kitengela,House,"KSh 8,500,000",Kitengela,3 Bedrooms,3 Bathrooms,198 sqm,"En Suite, Fibre Internet, Garden, Gated Community, Parking","Bus Stop, Shopping Centre",16 December 2025
3 Bed House with En Suite in Ruiru,House,"KSh 14,000,000",Ruiru,3 Bedrooms,3 Bathrooms,160 sqm,"Aircon, Serviced, En Suite, Fibre Internet, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Gated Community, Garden","Bus Stop, Shopping Centre, Hospital, School",04 February 2026
3 Bed House with En Suite in Kitengela,House,"KSh 7,200,000",Kitengela,3 Bedrooms,3 Bathrooms,197 sqm,"Alarm, En Suite, Fibre Internet, Parking, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, School",07 February 2026
4 Bed Townhouse with En Suite in Ngong,Townhouse,"KSh 12,500,000",Ngong,4 Bedrooms,4 Bathrooms,508 sqm,"Aircon, En Suite, Fibre Internet, Kids Play Area, Parking, Staff Quarters, Gated Community, Garden","Shopping Centre, Bus Stop, Hospital, School",11 February 2026
3 Bed House with En Suite in Kitengela,House,"KSh 6,900,000",Kitengela,3 Bedrooms,3 Bathrooms,198 sqm,"Aircon, En Suite, Serviced, Kids Play Area, Parking, Gated Community, Garden, Borehole","Bus Stop, Shopping Centre, Hospital, School",12 February 2026
4 Bed Townhouse with En Suite at Mlolongo,Townhouse,"KSh 30,000,000",Mlolongo,4 Bedrooms,4 Bathrooms,465 sqm,"Aircon, Alarm, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, Parking, CCTV, Wheelchair Access, Gated Community, Swimming Pool","Bus Stop, Hospital, School, Scenic View, Shopping Centre",05 February 2026
5 Bed Villa with En Suite in Kikuyu Town,Villa,"KSh 22,000,000","Kikuyu Town, Kikuyu",5 Bedrooms,6 Bathrooms,1.5 acre,"Alarm, En Suite, Fibre Internet, Balcony, Garden, Borehole, Electric Fence, Staff Quarters, Swimming Pool, Gated Community, Wheelchair Access, Kids Play Area, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed Villa with En Suite at Off Sri Aurobindo Avenue,Villa,"KSh 120,000,000","Riverside, Westlands",5 Bedrooms,5 Bathrooms,7000 sq ft,"En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Backup Generator, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Wheelchair Access, Staff Quarters, Gated Community","Scenic View, Shopping Centre",16 February 2026
5 Bed Villa with En Suite at Karen,Villa,"KSh 110,000,000",Karen,5 Bedrooms,5 Bathrooms,24.4 acre,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community","Scenic View, Shopping Centre",16 February 2026
4 Bed Townhouse with En Suite in Langata,Townhouse,"KSh 30,000,000",Langata,4 Bedrooms,N/A,N/A,"Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, CCTV, Parking, Gym, Swimming Pool, Kids Play Area, Gated Community","Hospital, School, Shopping Centre, Golf Course",16 February 2026
3 Bed House with En Suite in Ruiru,House,"KSh 14,000,000",Ruiru,3 Bedrooms,4 Bathrooms,160 sqm,"Alarm, En Suite, Fibre Internet, Electric Fence, Borehole, Staff Quarters, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed Townhouse with En Suite at Lavington,Townhouse,"KSh 95,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",21 February 2024
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 95,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Balcony, CCTV, Electric Fence, Parking","Bus Stop, Golf Course, Hospital, Scenic View",12 January 2022
4 Bed Townhouse with En Suite at Membley,Townhouse,"KSh 33,000,000","Membley, Ruiru",4 Bedrooms,4 Bathrooms,320 sqm,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Backup Generator, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Gated Community, Kids Play Area, Swimming Pool","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 July 2024
4 Bed House in Ruiru,House,"KSh 25,000,000",Ruiru,4 Bedrooms,4 Bathrooms,310 sqm,"Balcony, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed House with En Suite at Kabarsiran Road,House,"KSh 350,000,000",Lavington,5 Bedrooms,5 Bathrooms,0.8 acre,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Kids Play Area, Parking, CCTV, Staff Quarters, Swimming Pool, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access","Scenic View, Shopping Centre",16 February 2026
5 Bed Villa with En Suite at Loresho,Villa,"KSh 104,000,000","Loresho, Westlands",5 Bedrooms,5 Bathrooms,780 sqm,"Backup Generator, Fibre Internet, En Suite, Service Charge Included, Walk In Closet, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Wheelchair Access, Garden","Scenic View, Shopping Centre",16 February 2026
3 Bed House with En Suite in Ruiru,House,"KSh 11,000,000",Ruiru,3 Bedrooms,4 Bathrooms,N/A,"Alarm, En Suite, Fibre Internet, Electric Fence, Borehole, Parking, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed House with En Suite in Karen,House,"KSh 190,000,000",Karen,5 Bedrooms,5 Bathrooms,N/A,"En Suite, Electric Fence, Garden, Parking, Staff Quarters, Gated Community","Bus Stop, Golf Course, Hospital, School, Shopping Centre",16 February 2026
5 Bed House with En Suite in Lavington,House,"KSh 100,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"En Suite, Walk In Closet, Balcony, Garden, Gated Community, Parking, Electric Fence, BBQ","School, Shopping Centre, Hospital, Bus Stop",16 February 2026
5 Bed Villa with En Suite at Muthangari Road,Villa,"KSh 78,000,000",Lavington,5 Bedrooms,5 Bathrooms,4000 sq ft,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Garden, Gated Community","Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed Villa with En Suite at Chalbi Road,Villa,"KSh 65,000,000",Lavington,5 Bedrooms,5 Bathrooms,0.8 acre,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, CCTV, Borehole, Garden, Electric Fence, Parking, Staff Quarters, Wheelchair Access, Balcony, Gym","School, Hospital, Shopping Centre, Scenic View",16 February 2026
3 Bed House with En Suite in Ruiru,House,"KSh 11,000,000",Ruiru,3 Bedrooms,4 Bathrooms,N/A,"En Suite, Alarm, Fibre Internet, Service Charge Included, Balcony, Borehole, Electric Fence, Parking, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",16 February 2026
5 Bed Villa with En Suite at Isaac Gathanju Close,Villa,"KSh 75,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Parking, Balcony, CCTV, Staff Quarters, Electric Fence, Gated Community, Wheelchair Access, Borehole","Scenic View, Shopping Centre, School, Hospital",16 February 2026
4 Bed House with En Suite in Membley,House,"KSh 33,000,000","Membley, Ruiru",4 Bedrooms,4 Bathrooms,300 sqm,"En Suite, Balcony, Kids Play Area, Parking, Staff Quarters, Gated Community, Garden","Bus Stop, Shopping Centre, Hospital, School",16 February 2026
5 Bed Villa with En Suite at Jacaranda Avenue,Villa,"KSh 160,000,000",Lavington,5 Bedrooms,5 Bathrooms,700 sqm,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access","Scenic View, Shopping Centre, Bus Stop, Hospital, School",16 February 2026
5 Bed Villa with En Suite at Chalbi Drive,Villa,"KSh 55,000,000",Lavington,5 Bedrooms,5 Bathrooms,3500 sqm,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Wheelchair Access","Scenic View, Shopping Centre",16 February 2026
5 Bed Villa with En Suite at Muthangari Drive,Villa,"KSh 167,000,000",Lavington,5 Bedrooms,5 Bathrooms,650 sqm,"Alarm, Backup Generator, En Suite, Walk In Closet, Furnished, Fibre Internet, Balcony, Gym, Parking, BBQ, Staff Quarters, CCTV, Swimming Pool, Electric Fence, Wheelchair Access, Borehole, Garden","Hospital, School, Shopping Centre",16 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 440,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, Electric Fence, CCTV, Borehole, Garden, Parking, Staff Quarters, Gated Community, Kids Play Area","Bus Stop, Scenic View, School, Hospital, Shopping Centre",03 June 2025
5 Bed House with Garden in Ridgeways,House,"KSh 85,000,000",Ridgeways,5 Bedrooms,4 Bathrooms,0.5 acre,"Balcony, Electric Fence, Garden, Parking, Gated Community","Bus Stop, School, Shopping Centre",02 February 2026
4 Bed Townhouse with En Suite at Mukenya Court,Townhouse,"KSh 15,900,000",Buruburu,4 Bedrooms,3 Bathrooms,156 sqm,"En Suite, Walk In Closet, Borehole, Garden, Parking, Gated Community","Bus Stop, Hospital, School, Shopping Centre",27 January 2026
3 Bed Townhouse with En Suite in Ruiru,Townhouse,"KSh 18,500,000",Ruiru,3 Bedrooms,4 Bathrooms,168 sqm,"Alarm, En Suite, Fibre Internet, Service Charge Included, CCTV, Balcony, Electric Fence, Garden, Borehole, Parking, Staff Quarters, Wheelchair Access, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, Shopping Centre, School",16 February 2026
4 Bed House with En Suite at Loresho,House,"KSh 105,000,000","Loresho, Westlands",4 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Scenic View, School, Sea View, Shopping Centre",16 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, Parking, Gym, Kids Play Area, CCTV, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Scenic View, Hospital, School",16 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Gym, Kids Play Area, CCTV, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School",16 February 2026
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Gym, Kids Play Area, CCTV, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School",16 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 100,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Gym, Kids Play Area, Parking, Balcony, CCTV, Staff Quarters, BBQ, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",16 February 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 135,000,000",Lavington,5 Bedrooms,6 Bathrooms,765 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Gym, Kids Play Area, Parking, BBQ, Balcony, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",16 February 2026
5 Bed Villa with En Suite in Lavington,Villa,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,1.1 acre,"Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Gym, Kids Play Area, Parking, BBQ, Balcony, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",16 February 2026
5 Bed House with En Suite in Nyari,House,"KSh 135,000,000","Nyari, Westlands",5 Bedrooms,6 Bathrooms,0.5 acre,"Service Charge Included, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Walk In Closet, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Golf Course, Bus Stop, Shopping Centre, School, Scenic View",15 February 2026
4 Bed House with En Suite in Westlands Area,House,"KSh 150,000,000","Westlands Area, Westlands",4 Bedrooms,5 Bathrooms,N/A,"En Suite, Backup Generator, Alarm, Aircon, Fibre Internet, Service Charge Included, Walk In Closet, Electric Fence, CCTV, BBQ, Balcony, Garden, Borehole, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Scenic View, Hospital, Golf Course, Bus Stop, School, Shopping Centre",15 February 2026
5 Bed House with En Suite in Runda,House,"KSh 125,000,000","Runda, Westlands",5 Bedrooms,7 Bathrooms,0.6 acre,"En Suite, Backup Generator, Alarm, Aircon, Fibre Internet, Service Charge Included, Walk In Closet, Borehole, Electric Fence, CCTV, BBQ, Balcony, Staff Quarters, Parking, Garden, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Shopping Centre, School, Scenic View, Hospital, Golf Course, Bus Stop",15 February 2026
4 Bed House with Staff Quarters in Thika,House,"KSh 30,000,000",Thika,4 Bedrooms,4 Bathrooms,669 sqm,"Fibre Internet, Balcony, Garden, Parking, Staff Quarters, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
5 Bed Villa with En Suite in Karen,Villa,"KSh 150,000,000",Karen,5 Bedrooms,5 Bathrooms,2025 sqm,"En Suite, Fibre Internet, Balcony, CCTV, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
4 Bed House with En Suite in Runda,House,"KSh 350,000,000","Runda, Westlands",4 Bedrooms,4 Bathrooms,2025 sqm,"En Suite, Backup Generator, Fibre Internet, Balcony, CCTV, Electric Fence, Garden, Gym, Parking, Staff Quarters, Swimming Pool","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
4 Bed House with En Suite in Kiambu Road,House,"KSh 34,500,000",Kiambu Road,4 Bedrooms,5 Bathrooms,465 sqm,"En Suite, Fibre Internet, Walk In Closet, Backup Generator, Balcony, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
4 Bed House with En Suite in Ruiru,House,"KSh 20,000,000",Ruiru,4 Bedrooms,5 Bathrooms,262 sqm,"En Suite, Fibre Internet, Walk In Closet, Balcony, Garden, Parking, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
4 Bed House with En Suite in Tatu City,House,"KSh 80,000,000","Tatu City, Ruiru",4 Bedrooms,4 Bathrooms,1012 sqm,"Backup Generator, En Suite, Fibre Internet, Balcony, Gym, Parking, Staff Quarters, Swimming Pool, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
4 Bed Townhouse with Staff Quarters in Kitisuru,Townhouse,"KSh 39,000,000","Kitisuru, Westlands",4 Bedrooms,5 Bathrooms,348 sqm,"Alarm, Backup Generator, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, School, Scenic View, Shopping Centre",04 February 2026
5 Bed Villa with En Suite in Lower Kabete,Villa,"KSh 175,000,000","Lower Kabete, Westlands",5 Bedrooms,6 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
6 Bed Villa with En Suite in Runda,Villa,"KSh 260,000,000","Runda, Westlands",6 Bedrooms,8 Bathrooms,0.5 acre,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",15 February 2026
4 Bed House with En Suite at Forest Line Road,House,"KSh 9,000,000",Ngong,4 Bedrooms,4 Bathrooms,163 sqm,"En Suite, Fibre Internet, Serviced, Balcony, BBQ, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",14 February 2026
4 Bed House with En Suite at Forest Line Road,House,"KSh 7,500,000",Ngong,4 Bedrooms,4 Bathrooms,154 sqm,"En Suite, Fibre Internet, Serviced, Balcony, BBQ, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",14 February 2026
3 Bed Villa with En Suite at Masai Lodge Road,Villa,"KSh 13,500,000",Ongata Rongai,3 Bedrooms,3 Bathrooms,N/A,"En Suite, Fibre Internet, Serviced, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",11 February 2026
7 Bed House with Staff Quarters in Runda,House,"KSh 155,000,000","Runda, Westlands",7 Bedrooms,7 Bathrooms,075 sqm,"Electric Fence, Garden, Parking, Staff Quarters, Kids Play Area","Golf Course, Hospital, School, Shopping Centre",14 February 2026
5 Bed House with En Suite at Nairobi,House,"KSh 135,000,000","Nyari, Westlands",5 Bedrooms,5 Bathrooms,0.7 acre,"En Suite, Walk In Closet, Alarm, Balcony, Garden, Electric Fence, Parking, Staff Quarters, Gated Community, Kids Play Area","Golf Course, Hospital, School, Shopping Centre",14 February 2026
4 Bed House with En Suite at Nairobi,House,"KSh 100,000,000","Runda, Westlands",4 Bedrooms,5 Bathrooms,N/A,"Walk In Closet, En Suite, BBQ, Borehole, Garden, Parking, Wheelchair Access, Gated Community, Kids Play Area","Golf Course, Hospital, School, Shopping Centre",14 February 2026
6 Bed House with En Suite at Nairobi,House,"KSh 70,000,000","Riverside, Westlands",6 Bedrooms,5 Bathrooms,N/A,"Backup Generator, En Suite, Walk In Closet, Garden, Parking, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",14 February 2026
6 Bed Villa in Karen,Villa,"KSh 130,000,000",Karen,6 Bedrooms,6 Bathrooms,N/A,"Fibre Internet, Balcony, Parking, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",14 February 2026
5 Bed House with Garden at Old Muthaiga,House,"KSh 160,000,000",Muthaiga,5 Bedrooms,4 Bathrooms,1.1 acre,"Walk In Closet, Garden, Parking","Golf Course, Hospital, School, Shopping Centre",14 February 2026
3 Bed House with Staff Quarters in Ruiru,House,"KSh 14,000,000",Ruiru,3 Bedrooms,3 Bathrooms,297 sqm,"Fibre Internet, Balcony, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",14 February 2026
4 Bed House with En Suite at Thika Road,House,"KSh 18,500,000",Ruiru,4 Bedrooms,6 Bathrooms,260 sqm,"Alarm, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",14 February 2026
3 Bed House with En Suite at Gatundu Road,House,"KSh 13,800,000",Kenyatta Road,3 Bedrooms,5 Bathrooms,298 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",14 February 2026
3 Bed House with En Suite at Thika Road,House,"KSh 14,000,000",Ruiru,3 Bedrooms,5 Bathrooms,160 sqm,"Alarm, En Suite, Fibre Internet, Walk In Closet, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Gated Community","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",14 February 2026
4 Bed House with En Suite at Thikaroad,House,"KSh 14,500,000",Ruiru,4 Bedrooms,5 Bathrooms,160 sqm,"Alarm, En Suite, Fibre Internet, BBQ, CCTV, Electric Fence, Garden, Parking","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",14 February 2026
