Title,Property Type,Price,Location,Bedrooms,Bathrooms,Size,Amenities,Surroundings,Created At
4 Bed House with En Suite in Kiambu Road,House,"KSh 35,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,330 sqm,"En Suite, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Shopping Centre, Bus Stop, Hospital, School",29 January 2026
5 Bed House with En Suite in Karen,House,"KSh 75,000,000",Karen,5 Bedrooms,5 Bathrooms,1/2 acre,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Serviced, Balcony, Gym, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Swimming Pool","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",16 January 2026
4 Bed House with Staff Quarters in Kiambu Road,House,"KSh 29,000,000",Kiambu Road,4 Bedrooms,3 Bathrooms,480 sqm,"Fibre Internet, Walk In Closet, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Shopping Centre, Bus Stop, Hospital, School",29 January 2026
4 Bed House with En Suite in Gikambura,House,"KSh 13,700,000","Gikambura, Kikuyu",4 Bedrooms,4 Bathrooms,298 sqm,"En Suite, Fibre Internet, Staff Quarters, Wheelchair Access, Garden, Gated Community, Kids Play Area, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",29 January 2026
5 Bed Villa with En Suite at Isaac Gathanju Close,Villa,"KSh 85,000,000",Lavington,5 Bedrooms,5 Bathrooms,485 sqm,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, CCTV, Electric Fence, Parking, Staff Quarters, Wheelchair Access, Gated Community, Borehole","Shopping Centre, Scenic View",29 January 2026
4 Bed House with En Suite at Loresho,House,"KSh 170,000,000","Loresho, Westlands",4 Bedrooms,4 Bathrooms,518 sqm,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, CCTV, Balcony, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Staff Quarters","Scenic View, Shopping Centre",29 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 90,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, En Suite, Walk In Closet, Backup Generator, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Gated Community","Bus Stop, Golf Course, Hospital, School, Shopping Centre",29 January 2026
5 Bed Villa with En Suite at Muthangari Road,Villa,"KSh 65,000,000",Lavington,5 Bedrooms,5 Bathrooms,395 sqm,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community","Scenic View, Shopping Centre",29 January 2026
4 Bed Townhouse with En Suite in Kiambu Road,Townhouse,"KSh 32,500,000",Kiambu Road,4 Bedrooms,4 Bathrooms,410 sqm,"En Suite, Walk In Closet, Balcony, Parking, Gated Community, Garden, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Golf Course, School",29 January 2026
4 Bed Townhouse with En Suite at Peponi Road,Townhouse,"KSh 85,000,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,8500 sq ft,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Staff Quarters, CCTV, Borehole, Garden, Electric Fence, Parking, Wheelchair Access","Scenic View, Shopping Centre",29 January 2026
4 Bed House with En Suite at Paradise Lost Road,House,"KSh 33,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,330 sqm,"Alarm, En Suite, Fibre Internet, Parking, BBQ, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Kids Play Area","Shopping Centre, Bus Stop, Hospital, Sea View",28 January 2026
3 Bed House with En Suite in Ngong,House,"KSh 7,500,000",Ngong,3 Bedrooms,3 Bathrooms,154 sqm,"En Suite, Fibre Internet, Walk In Closet, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",29 January 2026
4 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 168,000,000",Lavington,4 Bedrooms,4 Bathrooms,450 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Swimming Pool","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",26 January 2026
4 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 80,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,3940 sq ft,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",26 January 2026
4 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 73,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,402 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Parking, Staff Quarters, Gym, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",28 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Service Charge Included, Walk In Closet, Alarm, Backup Generator, Fibre Internet, En Suite, Balcony, BBQ, Parking, Gym, Kids Play Area, CCTV, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Shopping Centre, Bus Stop, Hospital, Scenic View, School",29 January 2026
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Gym, Kids Play Area, Parking, CCTV, Electric Fence, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School",29 January 2026
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,341 sqm,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Parking, Gym, CCTV, Kids Play Area, Electric Fence, Wheelchair Access, Borehole, Gated Community, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",29 January 2026
4 Bed Townhouse with En Suite in Membley,Townhouse,"KSh 33,000,000","Membley, Ruiru",4 Bedrooms,5 Bathrooms,320 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Serviced, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Parking, Gym, Garden, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",29 January 2026
